OperationStep,Man.Item.No,Description,Qty
OP0880,218681022,SCREW SEM SOC HD CAP M6*16 ENP,24
OP0880,NKB905810,SEM CAP HD SKT M6*20,30
OP0890,IE0113818,END USER DUAL P TOP COVER ASSY,1
OP0890,IE0113786,END USER PUMP TOP COVER ASSY,5
OP0890,NKB905810,SEM CAP HD SKT M6*20,18
OP0900,IE0113788,LH PUMP FUSEBOX COVER ASSY,6
OP0900,IE0113790,END USER PUMP RH F/B COVER ASSY,6
OP0900,NKB905810,SEM CAP HD SKT M6*20,48
OP0910,IE0113742,FRONT DOOR LH PILLAR ASSY,5
OP0910,IE0113738,FRONT DOOR RH PILLAR ASSY,3
OP0910,218231371,SCR CAP HD M6*20 SS,32
OP0910,218981309,WSHR NORM M6 SS,32
OP0910,218983509,WSHR S-COIL M6 SS,32
OP0920,IE0113756,SINGLE PUMP FRONT DOOR ASSY,2
OP0920,IE0113739,FRONT DOOR LH CMN ASSY,3
OP0920,IE0113754,PUMP FRONT DOOR RH ASSY,1
OP0930,NRY47V715,1IN FLAP SEAL EPDM/PVC ,1
OP0940,IE0113998,BUSBAR GAP COVER ASSY,5
OP0940,218231372,SCR CAP HD M6*25 SS,30
OP0940,218980611,WSHR M6*25 OD MS NI PL,30
OP0940,218983509,SINGLE COIL WASHER M6,30
OP0950,C10512366,FLANGE BLANK NW16 ST/ST PACK,6
OP0950,C10512501,NW10/16 CLAMPING RING S/S,24
OP0950,C10512490,NW10/16 TRAPPED O RING,24
OP0950,IE0113474,LOAD LOCK TRANSDUCER,6
OP0950,IE0114222,NW16 HOT SWAP T PORT,6
OP0950,C33255000,SPEEDIVALVE SP16L VITON LIGHT,6
