OperationStep,Ref.,Man.Item.No,Description,Qty
OP1320,1100,H02134001,ORING VIT9830  19.5ID X 3.0SEC.  100C,1
OP1320,1100,H02134001,O RING VIT9830 19.5ID X 3.0 SEC   150C,1
OP1370,150C,A41205053,STATIC FILTER COVER PLATE PK1,2
OP1370,150C,27522-046,M6X16 SOC HD CAP SCREW,8
OP1370,,H03517004,"1/8""BSP TAPER PRESSURE PLUG",2
OP1370,100C,27522-046,M6X16 SOC HD CAP SCREW,4
OP1370,100C,A41200054,STATIC FILTER COVER PLATE Pk.1,1
OP1370,150C,H02134003,ORING VIT9830  61.5ID X 2.4SEC,2
OP1370,0570,H02134000,ORING VIT9830  44.5ID X 2.4SEC.  100C,1
OP1380,1100,H02134001,ORING VIT9830 19.5ID X 3.0.      100C,3
OP1380,1130,A26002063,"3/8""BSP PLUG HEX DRIVE.          100/150C",3
OP1390,,,Inlet adaptor NW40,1
OP1390,OK MESSAGE ME WHEN,,Outlet blanking plate   100C,1
OP1390,,,Outlet blanking plate   150C,1
OP1390,,,Gear cover adaptor NW25-BSP3/8”,1
OP1400,,A20001085,DIRECTION LABEL,1
